#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2005gc  0.166   1    1.467    0.019   -0.154    0.021   20.065    0.025    3.780   53647.844  0.133
    sn2005gs  0.251   1    1.304    0.029    0.253    0.046   21.443    0.039    3.181   53646.700  0.316
    sn2005hn  0.108   1    1.438    0.016    0.101    0.016   19.636    0.036    5.999   53654.363  0.197
    sn2005gd  0.161   1    1.220    0.015   -0.031    0.021   20.190    0.022    2.552   53645.598  0.132
    sn2005gr  0.245   1    1.603    0.043   -0.152    0.045   20.530    0.043    1.490   53645.867  0.299
    sn2005gf  0.250   1    1.460    0.033   -0.090    0.047   20.758    0.038    1.929   53645.499  0.288
    sn2005gg  0.231   1    1.449    0.030   -0.320    0.045   20.528    0.044    3.313   53648.339  0.240
    sn2005gb  0.087   1    1.431    0.008    0.079    0.007   18.782    0.013   27.311   53644.360  0.046
    sn2005ho  0.063   1    1.646    0.002    0.039    0.003   17.997    0.009   37.258   53656.994  0.029
    sn2005gt  0.278   1    1.017    0.066    0.062    0.078   21.853    0.082    1.818   53641.439  0.702
    sn2005gw  0.277   1    1.531    0.048   -0.125    0.065   21.276    0.052    1.197   53645.929  0.412
    sn2005gu  0.332   1    1.232    0.363      NaN      NaN   25.209    0.442    2.634   53696.334  4.721
    sn2005gj  0.062   1    2.474    0.004    0.162    0.006   17.042    0.041 1071.206   53666.922  0.040
    sn2005gy  0.332   1    1.669    0.074    0.264    0.062   22.002    0.066    1.066   53653.808  0.608
    sn2005gx  0.162   1    1.466    0.022   -0.166    0.024   20.183    0.027    1.991   53654.696  0.153
    sn2005gq  0.390   1    0.939    0.079   -0.115    0.067   22.694    0.114    1.692   53642.475  0.902
    sn2005hp  0.175   1    1.436    0.040   -0.187    0.039   20.290    0.077    2.251   53658.614  0.277
    sn2005hs  0.301   1    1.258    0.089    0.425    0.072   22.152    0.121    3.000   53656.140  0.628
    sn2005hr  0.117   1    1.619    0.014   -0.029    0.012   19.362    0.026    8.548   53664.246  0.125
    sn2005hu  0.220   1    1.318    0.036   -0.182    0.036   20.974    0.038    3.640   53668.134  0.272
    sn2005hx  0.121   1    1.549    0.012   -0.044    0.011   19.578    0.015    8.477   53665.985  0.077
    sn2005hy  0.156   1    1.698    0.018   -0.193    0.013   19.726    0.013    4.738   53671.084  0.120
    sn2005hw  0.411   1    1.523    0.095    0.066    0.061   22.529    0.092    1.242   53662.823  0.957
    sn2005hv  0.180   1    1.534    0.051   -0.128    0.039   20.856    0.049    2.893   53662.582  0.321
    sn2005ia  0.252   1    1.756    0.030   -0.097    0.040   21.194    0.033    2.009   53665.111  0.298
    sn2005jz  0.253   1    1.618    0.039   -0.146    0.044   21.324    0.041    1.787   53666.116  0.292
    sn2005ib  0.393   1    0.548    0.137    0.141    0.303   24.030    0.440    1.034   53699.698  1.234
    sn2005hz  0.131   1    1.605    0.014    0.086    0.011   20.035    0.014    3.767   53666.160  0.098
    sn2005ic  0.311   0    2.600   -0.000      NaN      NaN      NaN      NaN   12.274   53402.581479.360
    sn2005hc  0.046   1    1.550    0.004    0.012    0.003   17.303    0.013  106.819   53666.986  0.021
    sn2005ie  0.280   1    1.557    0.066   -0.149    0.076   21.262    0.055    1.223   53667.263  0.393
    sn2005it  0.310   1    1.460    0.072    0.066    0.077   21.682    0.083    1.310   53660.109  0.670
    sn2005ht  0.187   1    1.621    0.029   -0.412    0.035   20.248    0.046    2.108   53666.587  0.248
    sn2005if  0.067   1    1.465    0.009    0.719    0.012   18.877    0.041   16.726   53662.907  0.071
    sn2005ka  0.318   1    1.783    0.105    0.199    0.071   22.072    0.072    1.606   53664.566  0.912
    sn2005ih  0.260   1    1.238    0.036    0.120    0.049   21.361    0.042    1.589   53674.709  0.456
    sn2005iw  0.289   1    1.533    0.071    0.259    0.066   21.968    0.067    2.572   53668.446  0.643
    sn2005iv  0.300   1    0.971    0.075    0.035    0.064   21.428    0.062    2.189   53671.899  0.520
    sn2005jy  0.272   0    2.600   -0.000      NaN      NaN      NaN      NaN   18.020   52850.215 -0.000
    sn2005ig  0.281   1    1.055    0.038    0.097    0.059   21.452    0.051    2.526   53669.785  0.346
    sn2005ii  0.295   1    1.526    0.085    0.077    0.068   21.680    0.054    1.030   53674.028  0.625
    sn2005js  0.080   1    0.918    0.024    0.697    0.016   20.816    0.033    0.950   53664.820  0.173
    sn2005jk  0.191   1    1.334    0.034   -0.391    0.037   20.644    0.042    2.112   53672.972  0.219
    sn2005ix  0.267   1    1.308    0.041   -0.560    0.070   20.577    0.053    1.521   53675.982  0.328
    sn2005ij  0.124   1    1.258    0.008    0.002    0.012   19.470    0.026   10.385   53674.254  0.075
    sn2005id  0.186   1    1.599    0.026   -0.565    0.025   19.938    0.024    5.005   53668.152  0.188
    sn2005hj  0.057   1    1.364    0.003   -0.026    0.005   17.607    0.016   77.913   53673.809  0.037
    sn2005jd  0.314   1    1.588    0.078   -0.084    0.076   21.397    0.055    0.893   53676.805  0.535
    sn2005ik  0.311   1    1.031    0.057    0.033    0.054   21.591    0.051    1.991   53673.647  0.337
    sn2005iu  0.090   1    1.325    0.019    0.248    0.015   18.782    0.045   41.267   53676.888  0.108
    sn2005iy  0.404   0    2.600    0.000      NaN      NaN      NaN      NaN    3.954   53475.042 71.912
    sn2005iz  0.204   1    1.315    0.048   -0.333    0.052   20.760    0.065    1.379   53666.115  0.366
    sn2005ja  0.328   0    2.600   -0.000      NaN      NaN      NaN      NaN   23.290   53523.081 37.842
    sn2005jc  0.213   1    1.454    0.037   -0.142    0.037   20.606    0.029    2.605   53679.685  0.251
    sn2005jl  0.180   1    1.375    0.033   -0.540    0.037   20.212    0.040    3.696   53679.704  0.251
    SDSS7017  0.269   1    1.987    0.019    0.076    0.020   20.391    0.016    6.189   53686.394  0.180
    sn2005jg  0.305   0    2.600    0.000      NaN      NaN      NaN      NaN    8.758   53451.579764.512
    sn2005jh  0.110   1    1.096    0.012    0.028    0.014   19.544    0.018    6.942   53678.408  0.110
    sn2005jm  0.205   1    1.555    0.044   -0.046    0.044   20.667    0.054    2.251   53686.247  0.330
    sn2005ji  0.216   0    2.600    0.000      NaN      NaN      NaN      NaN   92.976   53454.794432.325
    sn2005jn  0.322   1    1.318    0.045   -0.034    0.070   21.249    0.045    1.212   53675.580  0.422
    sn2005jo  0.219   1    1.491    0.043   -0.160    0.051   20.826    0.050    1.715   53682.404  0.317
    sn2005jw  0.381   1    1.213    0.064    0.127    0.046   21.797    0.044    2.442   53673.688  0.472
    sn2005jp  0.213   1    1.339    0.041   -0.003    0.044   20.987    0.046    1.877   53681.355  0.346
    sn2005ir  0.076   1    1.364    0.006    0.093    0.007   18.338    0.013   56.148   53684.226  0.041
    sn2005jv  0.422   1    1.253    0.093    0.050    0.065   22.453    0.068    0.825   53677.115  1.004
    sn2005ju  0.259   1    1.540    0.055    0.097    0.060   21.465    0.046    0.880   53683.852  0.441
    sn2005hk  0.013   1    1.217    0.001    0.328    0.003   15.814    0.009  671.648   53684.830  0.011
    sn2005ko  0.186   1    1.366    0.032    0.116    0.044   21.036    0.050    1.322   53683.152  0.296
    sn2005mi  0.215   1    1.202    0.017    0.065    0.040   20.019    0.036    5.344   53689.328  0.204
    sn2005jt  0.361   1    1.302    0.092    0.134    0.082   22.405    0.083    0.803   53683.302  0.955
    sn2005kp  0.118   1    1.459    0.010   -0.116    0.014   19.294    0.015   17.180   53689.922  0.073
    sn2005ld  0.145   1    1.548    0.012   -0.389    0.029   19.566    0.060    3.328   53692.807  0.148
    sn2005le  0.254   0    2.107   -0.000      NaN      NaN      NaN      NaN   14.621   53329.393 -0.000
    sn2005kq  0.391   1    0.940    0.059   -0.116    0.102   22.072    0.098    2.049   53682.597  0.781
    sn2005lg  0.350   1    1.632    0.096    0.185    0.075   21.950    0.080    0.942   53687.609  0.737
    sn2005li  0.258   1    1.584    0.074    0.069    0.082   21.406    0.081    1.063   53689.776  0.586
    sn2005lh  0.220   1    1.291    0.043   -0.066    0.059   20.949    0.064    1.716   53689.176  0.346
    sn2005lj  0.078   1    1.525    0.031    0.413    0.022   20.339    0.035    3.001   53694.603  0.257
    sn2005lk  0.104   1    1.487    0.026   -0.076    0.018   19.177    0.037    5.275   53696.355  0.182
    sn2005ll  0.242   1    1.479    0.061   -0.071    0.067   20.855    0.064    2.921   53698.879  0.637
    sn2005lf  0.301   1    1.643    0.060    0.297    0.071   21.831    0.077    0.779   53690.391  0.715
    sn2005ku  0.045   1    1.523    0.008    0.151    0.006   17.554    0.022   43.532   53697.689  0.062
    sn2005ml  0.118   1    1.248    0.015   -0.062    0.015   19.042    0.015   15.450   53701.080  0.141
    sn2005mm  0.383   1    2.600   -0.000      NaN      NaN      NaN      NaN    4.186   53669.119  2.342
    sn2005ln  0.137   1    1.313    0.028    0.075    0.021   20.235    0.021    1.656   53698.891  0.278
    sn2005lo  0.299   1    0.948    0.031   -0.102    0.110   21.536    0.082    1.320   53700.956  0.553
    sn2005lq  0.380   1    2.600    0.000      NaN      NaN      NaN      NaN    3.676   53660.062  1.740
    sn2005mp  0.273   0    2.168    0.271    0.252    0.151   21.394    0.176    1.268   53717.700  3.278
    sn2005lp  0.303   1    0.820    0.022   -0.027    0.083   22.181    0.081    1.306   53701.088  0.514
    sn2005mq  0.350   1    1.149    0.112    0.073    0.131   21.839    0.104    1.033   53704.950  2.055
    sn2006fd  0.080   1    0.683    0.024    0.689    0.016   18.977    0.054   25.757   53977.392  0.115
    sn2006eq  0.049   1    1.147    0.015    0.500    0.009   18.708    0.024    7.269   53977.432  0.106
    sn2006er  0.084   1    1.228    0.031    0.235    0.014   19.513    0.026    3.132   53977.961  0.203
    sn2006gk  0.293   1    1.369    0.158    0.422    0.074   22.248    0.157    1.544   53982.455  1.759
    sn2006fa  0.167   1    1.439    0.066   -0.129    0.034   20.503    0.067    1.618   53985.255  0.951
