#      NAME  RED LC-DATA ST      ST-err   COL     COL-err BMAG     BMAG-err   CHI2DOF   MJDMAX    MJDMAX-err
    sn2005gb  0.087   1    1.000    0.007      NaN      NaN   18.720    0.022    1.275   53644.348  0.074
    sn2005ho  0.063   1    1.128    0.003      NaN      NaN   17.880    0.014   11.768   53655.965  0.045
    sn2005gt  0.278   1    1.078    0.128      NaN      NaN   22.433    0.411    1.094   53641.782  1.766
    sn2005gw  0.277   1    1.086    0.079      NaN      NaN   21.869    0.241    0.954   53643.296  1.083
    sn2005gu  0.332   1    0.988    0.093      NaN      NaN   22.648    0.265    0.946   53635.123  1.528
    sn2005gj  0.062   1    1.600    0.000      NaN      NaN      NaN      NaN  381.768   53673.513  0.049
    sn2005gy  0.332   1    1.117    0.124      NaN      NaN   22.627    0.261    0.950   53651.987  1.233
    sn2005gx  0.162   1    0.995    0.035      NaN      NaN   19.950    0.215    0.721   53654.051  0.475
    sn2005gq  0.390   0    1.442    0.340      NaN      NaN      NaN      NaN    0.820   53629.598  7.345
    sn2005hp  0.175   1    1.073    0.069      NaN      NaN   20.804    0.301    2.234   53659.830  0.814
    sn2005hs  0.301   1    0.614    0.063      NaN      NaN   20.403    0.369    1.239   53654.580  0.904
    sn2005hr  0.117   1    1.067    0.012      NaN      NaN   19.368    0.036    1.459   53663.021  0.188
    sn2005hu  0.220   1    1.083    0.078      NaN      NaN   19.279    0.300    1.204   53665.855  0.783
    sn2005hx  0.121   1    1.027    0.013      NaN      NaN   19.562    0.029    1.069   53665.399  0.133
    sn2005hy  0.156   1    1.143    0.044      NaN      NaN   20.227    0.110    1.317   53670.484  0.431
    sn2005hw  0.411   0    1.600    0.000      NaN      NaN      NaN      NaN    1.517   53644.683  5.577
    sn2005hv  0.180   1    0.925    0.062      NaN      NaN   20.625    0.338    0.535   53659.153  0.785
    sn2005ia  0.252   1    1.318    0.082      NaN      NaN   19.460    0.288    1.884   53664.177  0.990
    sn2005jz  0.253   1    1.158    0.073      NaN      NaN   20.964    0.216    1.597   53665.328  0.824
