cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
10146,zSNIa,21,23,0,0.284241,53664.12388529396,6.013268532938419e-10,nan,1.4776547711990133,6.507662752795593e-11,131.43320316198515,64,Minimization exited successfully.
10154,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10157,Unknown,45,47,0,0.204095,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10161,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10163,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10182,Unknown,0,0,0,1.44098,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10210,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10231,Unknown,21,21,0,0.144823,53671.547664693615,2.092807031124283e-09,nan,0.13210196540603647,6.242097031132752e-11,503.2432361015515,61,Minimization exited successfully.
10238,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10297,SNII,41,40,0,0.148293,53675.52527346448,1.8770474356084105e-09,nan,0.18797935803740984,4.608870763977408e-11,804.18563343587,120,Minimization exited successfully.
10299,zSNIa,20,20,0,0.261248,53672.732058941394,1.4053742879455656e-09,nan,0.311907292871183,7.670171910353248e-11,165.24875278760175,58,Minimization exited successfully.
10301,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10314,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10324,zSNIa,20,20,0,0.251725,53677.777314227555,1.5992337606323155e-09,nan,0.42700880325355683,7.686200665458347e-11,145.8769019707733,58,Minimization exited successfully.
10342,Unknown,0,0,0,1.57978,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10367,SNII,17,17,0,0.015054,53674.732897390786,5.758976434952097e-08,nan,0.0447361977348919,3.461584129106986e-10,15988.889935503737,32,Minimization exited successfully.
10371,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10396,pSNIbc,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10405,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10420,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10434,SNIa,19,19,0,0.104161,53679.80372612817,1.548174376870518e-08,nan,0.07902191967878025,2.054267074963837e-10,596.7090282459601,36,Minimization exited successfully.
10444,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10448,Unknown,0,19,0,0.43386,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10449,SNIa,19,20,0,0.242027,53685.45709818062,1.9176936479230183e-09,nan,0.6479801580171625,5.242345475767808e-11,320.24469647280137,57,Minimization exited successfully.
10450,zSNIa,19,20,0,0.272,53683.27295650193,8.321686204381459e-10,nan,1.2067633415426826,5.0633170870561575e-11,298.1242130270785,57,Minimization exited successfully.
10460,zSNIa,20,20,0,0.220342,53663.1994841825,5.897139055906804e-10,nan,0.7940311049460433,4.3448657331538244e-11,72.23722121866528,58,Minimization exited successfully.
10471,Unknown,19,20,0,0.239625,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10480,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10506,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10507,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10517,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10523,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10524,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10550,SNIa,21,21,0,0.300813,53669.31912042641,1.015101285925129e-09,nan,0.6883660195562697,8.573726156579372e-11,120.11623071016217,61,Minimization exited successfully.
10559,zSNIa,18,19,0,0.281092,53672.62947522864,2.0218689523194416e-09,nan,0.22605772327369777,9.173151264178616e-11,145.4745538181953,54,Minimization exited successfully.
10563,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10566,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10620,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10621,Unknown,0,0,0,2.42595,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10654,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10668,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10672,zSNII,21,21,0,0.084961,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10690,zSNIa,21,21,0,0.312052,53680.774600036515,1.2483193175350055e-09,nan,0.7640991119005776,9.817631972498756e-11,92.04681660280337,60,Minimization exited successfully.
10738,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10748,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
10805,SNIa,21,20,0,0.045248,53685.04306746832,5.7201277635001386e-08,nan,0.029774200538668083,2.699866995293792e-10,1324.5972928530823,39,Minimization exited successfully.
10843,zSNIa,25,24,0,0.351,53672.739552073996,9.324329471407476e-10,nan,0.48560500620806124,6.239283318279344e-11,76.1409815750774,72,Minimization exited successfully.
10868,Unknown,48,49,0,0.085422,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
10907,SNII,21,21,0,0.084713,53684.45967707008,4.253959179549927e-09,nan,0.19892584427361726,7.649474055168207e-11,286.2107565383126,40,Minimization exited successfully.
