    INFO (2020-06-17 15:18:27,757): root - Formatted table for <1209> has 0 spectra
   DEBUG (2020-06-17 15:18:27,757): root - Finished with target


    INFO (2020-06-17 15:18:27,757): root - Fetching data for <12779> (28 / 938)
   DEBUG (2020-06-17 15:18:27,864): root - Formatting table for <12779>
   DEBUG (2020-06-17 15:18:27,864): root - Fetching t0 for <12779>
    INFO (2020-06-17 15:18:27,865): root - Found t0 for <12779>. t0 = 2453972.2
    INFO (2020-06-17 15:18:27,896): root - Formatted table for <12779> has 0 spectra
   DEBUG (2020-06-17 15:18:27,896): root - Finished with target


    INFO (2020-06-17 15:18:27,896): root - Fetching data for <13254> (29 / 938)
   DEBUG (2020-06-17 15:18:27,963): root - Formatting table for <13254>
   DEBUG (2020-06-17 15:18:27,963): root - Fetching t0 for <13254>
    INFO (2020-06-17 15:18:27,964): root - Found t0 for <13254>. t0 = 2453994.7
    INFO (2020-06-17 15:18:27,980): root - Formatted table for <13254> has 1 spectra
    INFO (2020-06-17 15:18:27,985): root - snid forcez=0.179896 emclip=0.179896 age=4.7999999998137355 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmplrv6olom/13254_4.80.dat
   DEBUG (2020-06-17 15:18:29,052): root - Finished with target


    INFO (2020-06-17 15:18:29,052): root - Fetching data for <2372> (30 / 938)
   DEBUG (2020-06-17 15:18:29,383): root - Formatting table for <2372>
   DEBUG (2020-06-17 15:18:29,383): root - Fetching t0 for <2372>
    INFO (2020-06-17 15:18:29,384): root - Found t0 for <2372>. t0 = 2453637.3
    INFO (2020-06-17 15:18:29,525): root - Formatted table for <2372> has 2 spectra
    INFO (2020-06-17 15:18:29,546): root - snid forcez=0.179585 emclip=0.179585 age=0.20000000018626451 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmp088n8jw_/2372_0.20.dat
    INFO (2020-06-17 15:18:30,599): root - snid forcez=0.179585 emclip=0.179585 age=1.2000000001862645 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmp6bwkn0z0/2372_1.20.dat
   DEBUG (2020-06-17 15:18:31,675): root - Finished with target


    INFO (2020-06-17 15:18:31,675): root - Fetching data for <20142> (31 / 938)
   DEBUG (2020-06-17 15:18:31,756): root - Formatting table for <20142>
   DEBUG (2020-06-17 15:18:31,756): root - Fetching t0 for <20142>
    INFO (2020-06-17 15:18:31,757): root - Found t0 for <20142>. t0 = 2454412.1
    INFO (2020-06-17 15:18:31,779): root - Formatted table for <20142> has 1 spectra
    INFO (2020-06-17 15:18:31,786): root - snid forcez=0.314679 emclip=0.314679 age=6.399999999906868 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpc9oog_lg/20142_6.40.dat
   DEBUG (2020-06-17 15:18:32,863): root - Finished with target


    INFO (2020-06-17 15:18:32,863): root - Fetching data for <20978> (32 / 938)
   DEBUG (2020-06-17 15:18:32,945): root - Formatting table for <20978>
   DEBUG (2020-06-17 15:18:32,946): root - Fetching t0 for <20978>
    INFO (2020-06-17 15:18:32,946): root - t0 not available for <20978>
   DEBUG (2020-06-17 15:18:32,946): root - Finished with target


    INFO (2020-06-17 15:18:32,946): root - Fetching data for <12895> (33 / 938)
   DEBUG (2020-06-17 15:18:33,023): root - Formatting table for <12895>
   DEBUG (2020-06-17 15:18:33,023): root - Fetching t0 for <12895>
    INFO (2020-06-17 15:18:33,024): root - Found t0 for <12895>. t0 = 2454001.4
    INFO (2020-06-17 15:18:33,048): root - Formatted table for <12895> has 0 spectra
   DEBUG (2020-06-17 15:18:33,049): root - Finished with target


    INFO (2020-06-17 15:18:33,049): root - Fetching data for <6057> (34 / 938)
   DEBUG (2020-06-17 15:18:33,212): root - Formatting table for <6057>
   DEBUG (2020-06-17 15:18:33,212): root - Fetching t0 for <6057>
    INFO (2020-06-17 15:18:33,213): root - Found t0 for <6057>. t0 = 2453664.1
    INFO (2020-06-17 15:18:33,267): root - Formatted table for <6057> has 1 spectra
    INFO (2020-06-17 15:18:33,272): root - snid forcez=0.066511 emclip=0.066511 age=2.3999999999068677 wmin=4000 wmax=9000 dage=5 rlapmin=5 inter=0 plot=0 verbose=0 /tmp/tmpl5g2y8i_/6057_2.40.dat
   DEBUG (2020-06-17 15:18:34,409): root - Finished with target


    INFO (2020-06-17 15:18:34,409): root - Fetching data for <19819> (35 / 938)
   DEBUG (2020-06-17 15:18:34,482): root - Formatting table for <19819>
   DEBUG (2020-06-17 15:18:34,483): root - Fetching t0 for <19819>
   ERROR (2020-06-17 15:18:34,483): root - t0 not available - unknown object Id <19819>
   DEBUG (2020-06-17 15:18:34,483): root - Finished with target


    INFO (2020-06-17 15:18:34,483): root - Fetching data for <5486> (36 / 938)
   DEBUG (2020-06-17 15:18:34,593): root - Formatting table for <5486>
   DEBUG (2020-06-17 15:18:34,593): root - Fetching t0 for <5486>
    INFO (2020-06-17 15:18:34,594): root - Found t0 for <5486>. t0 = 2453653.7
    INFO (2020-06-17 15:18:34,623): root - Formatted table for <5486> has 0 spectra
   DEBUG (2020-06-17 15:18:34,623): root - Finished with target


    INFO (2020-06-17 15:18:34,623): root - Fetching data for <13425> (37 / 938)
   DEBUG (2020-06-17 15:18:34,700): root - Formatting table for <13425>
   DEBUG (2020-06-17 15:18:34,700): root - Fetching t0 for <13425>
    INFO (2020-06-17 15:18:34,701): root - Found t0 for <13425>. t0 = 2453993.5
