    INFO (2020-05-19 16:32:14,170): root - Fetching data for <9457> (24 / 938)
   DEBUG (2020-05-19 16:32:14,316): root - Formatting table for <9457>
   DEBUG (2020-05-19 16:32:14,316): root - Fetching t0 for <9457>
    INFO (2020-05-19 16:32:14,318): root - Found t0 for <9457>. t0 = 2453689.5
    INFO (2020-05-19 16:32:14,351): root - Formatted table for <9457> has 1 spectra
    INFO (2020-05-19 16:32:14,352): root - Using template Ia
    INFO (2020-05-19 16:32:14,358): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/9457_8.00.dat
   DEBUG (2020-05-19 16:32:18,818): root - Finished with target


    INFO (2020-05-19 16:32:18,818): root - Fetching data for <15171> (25 / 938)
   DEBUG (2020-05-19 16:32:19,081): root - Formatting table for <15171>
   DEBUG (2020-05-19 16:32:19,081): root - Fetching t0 for <15171>
    INFO (2020-05-19 16:32:19,083): root - Found t0 for <15171>. t0 = 2454029.6
    INFO (2020-05-19 16:32:19,159): root - Formatted table for <15171> has 2 spectra
    INFO (2020-05-19 16:32:19,160): root - Using template Ia
    INFO (2020-05-19 16:32:19,168): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/15171_-6.10.dat
    INFO (2020-05-19 16:32:23,297): root - Using template Ia
    INFO (2020-05-19 16:32:23,304): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/15171_6.90.dat
   DEBUG (2020-05-19 16:32:26,689): root - Finished with target


    INFO (2020-05-19 16:32:26,690): root - Fetching data for <16259> (26 / 938)
   DEBUG (2020-05-19 16:32:26,797): root - Formatting table for <16259>
   DEBUG (2020-05-19 16:32:26,798): root - Fetching t0 for <16259>
    INFO (2020-05-19 16:32:26,799): root - Found t0 for <16259>. t0 = 2454052.9
    INFO (2020-05-19 16:32:26,818): root - Formatted table for <16259> has 1 spectra
    INFO (2020-05-19 16:32:26,818): root - Using template Ia
    INFO (2020-05-19 16:32:26,824): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/16259_4.60.dat
   DEBUG (2020-05-19 16:32:29,959): root - Finished with target


    INFO (2020-05-19 16:32:29,959): root - Fetching data for <20245> (27 / 938)
   DEBUG (2020-05-19 16:32:30,067): root - Formatting table for <20245>
   DEBUG (2020-05-19 16:32:30,068): root - Fetching t0 for <20245>
    INFO (2020-05-19 16:32:30,069): root - Found t0 for <20245>. t0 = 2454412.4
    INFO (2020-05-19 16:32:30,089): root - Formatted table for <20245> has 1 spectra
    INFO (2020-05-19 16:32:30,089): root - Using template II
    INFO (2020-05-19 16:32:30,096): root - snid usetype=II rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/20245_-2.90.dat
   DEBUG (2020-05-19 16:32:30,942): root - Finished with target


    INFO (2020-05-19 16:32:30,943): root - Fetching data for <13354> (28 / 938)
   DEBUG (2020-05-19 16:32:31,216): root - Formatting table for <13354>
   DEBUG (2020-05-19 16:32:31,216): root - Fetching t0 for <13354>
    INFO (2020-05-19 16:32:31,218): root - Found t0 for <13354>. t0 = 2454007.0
    INFO (2020-05-19 16:32:31,302): root - Formatted table for <13354> has 1 spectra
    INFO (2020-05-19 16:32:31,303): root - Using template Ia
    INFO (2020-05-19 16:32:31,318): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/13354_-1.50.dat
   DEBUG (2020-05-19 16:32:35,602): root - Finished with target


    INFO (2020-05-19 16:32:35,603): root - Fetching data for <14784> (29 / 938)
   DEBUG (2020-05-19 16:32:35,762): root - Formatting table for <14784>
   DEBUG (2020-05-19 16:32:35,762): root - Fetching t0 for <14784>
    INFO (2020-05-19 16:32:35,764): root - Found t0 for <14784>. t0 = 2454017.5
    INFO (2020-05-19 16:32:35,805): root - Formatted table for <14784> has 0 spectra
   DEBUG (2020-05-19 16:32:35,805): root - Finished with target


    INFO (2020-05-19 16:32:35,805): root - Fetching data for <762> (30 / 938)
   DEBUG (2020-05-19 16:32:36,028): root - Formatting table for <762>
   DEBUG (2020-05-19 16:32:36,028): root - Fetching t0 for <762>
    INFO (2020-05-19 16:32:36,029): root - Found t0 for <762>. t0 = 2453625.7
    INFO (2020-05-19 16:32:36,092): root - Formatted table for <762> has 1 spectra
    INFO (2020-05-19 16:32:36,093): root - Using template Ia
    INFO (2020-05-19 16:32:36,105): root - snid usetype=Ia rlapmin=5 inter=0 plot=0 verbose=0 /Users/daniel/Github/Photometric-Classification/results/snid/subtype_rlap_5/762_-3.20.dat
   DEBUG (2020-05-19 16:32:40,416): root - Finished with target


    INFO (2020-05-19 16:32:40,416): root - Fetching data for <2053> (31 / 938)
   DEBUG (2020-05-19 16:32:40,570): root - Formatting table for <2053>
   DEBUG (2020-05-19 16:32:40,570): root - Fetching t0 for <2053>
    INFO (2020-05-19 16:32:40,571): root - Found t0 for <2053>. t0 = 2453630.1
    INFO (2020-05-19 16:32:40,605): root - Formatted table for <2053> has 1 spectra
    INFO (2020-05-19 16:32:40,606): root - No recorded type for <2053>
   DEBUG (2020-05-19 16:32:40,606): root - Finished with target


