obj_id,z,z_err,num_points_desu,num_points_desg,t0,amplitude,t0_err,amplitude_err,chi,dof,message
des_01303496.dat,0.1798,0.001,0,0,56949.95811381677,3.3282235594219815e-10,0.19229757075299858,5.666786713914403e-12,77.22486787781136,6,Minimization exited successfully.
des_01303883.dat,0.2591,0.005,0,0,57269.01476982613,2.440043861334857e-10,0.13099698942824034,4.802539541796919e-12,229.18630651531328,14,Minimization exited successfully.
des_01303952.dat,0.5626,0.001,0,0,57266.18161280181,3.6790312964008185e-11,0.7676277899190609,2.6428394334301782e-12,24.5459436137093,17,Minimization exited successfully.
des_01304127.dat,0.7286,0.005,0,0,57262.21708917057,2.383487217233898e-11,1.5877789266123727,2.5756830159632504e-12,32.58381170511608,18,Minimization exited successfully.
des_01304442.dat,0.2171,0.001,0,0,56972.144062773725,3.7125321587206255e-11,127.15547670129308,2.8440495779657967e-11,6.643327170426245e-30,-1,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
des_01304678.dat,0.2188,0.001,0,0,56957.24272931593,1.3669908666295908e-10,2.3189376364789496,1.1108596720681984e-11,0.6383954447230614,5,Minimization exited successfully.
des_01305504.dat,0.4956,0.001,0,0,56956.070228677876,1.5086200501848407e-11,0.43222321762004867,2.879048611804369e-13,125.3973683575028,10,Minimization exited successfully.
des_01305626.dat,0.3257,0.001,0,0,56960.48045106523,4.351931254622139e-11,0.1568613269701018,3.3690122089689074e-13,728.1676788350676,11,Minimization exited successfully.
des_01306029.dat,0.4289,0.005,0,0,57262.23674416774,4.699615477509793e-11,0.5727093879577296,1.33198513389681e-12,204.8598739229204,32,Minimization exited successfully.
des_01306073.dat,0.3286,0.001,0,0,56958.179007275096,3.112238435202466e-11,0.3399384064177866,6.799710173366121e-13,90.67601933910301,11,Minimization exited successfully.
des_01306141.dat,0.3324,0.001,0,0,56959.092296434435,8.980695564769823e-11,0.26873293904282036,1.650425355108631e-12,387.7658065990573,26,Minimization exited successfully.
des_01306360.dat,0.4494,0.005,0,0,57262.08909504184,3.5858054281792557e-11,1.6369153236410057,3.405342477385477e-12,14.754466618869357,16,Minimization exited successfully.
des_01306390.dat,0.407,0.005,0,0,57264.432500280505,3.5187052433660216e-11,1.1354574198085174,1.9771572566626148e-12,32.13221303094298,28,Minimization exited successfully.
des_01306537.dat,0.4795,0.005,0,0,57267.46863457962,5.0097691711237277e-11,0.46776603877879097,2.204334221771514e-12,54.89925361169816,15,Minimization exited successfully.
des_01306626.dat,0.4095,0.005,0,0,57265.59456534215,6.94442100859315e-11,0.3167506252066232,1.8151359862097689e-12,302.1385771500626,30,Minimization exited successfully.
des_01306785.dat,0.5787,0.005,0,0,57264.611596071205,2.8207059011004592e-11,1.3603147631147294,3.820276610825759e-12,4.168588606972753,7,Minimization exited successfully.
des_01306980.dat,0.5489,0.005,0,0,57262.68124844585,2.8800308128676303e-11,1.432059134116571,3.4847641094224028e-12,12.03041952988912,18,Minimization exited successfully.
des_01306991.dat,0.4217,0.001,0,0,57267.75928273534,8.144412636678557e-11,0.6575628503524058,5.498349400925964e-12,58.26260259675383,29,Minimization exited successfully.
des_01307277.dat,0.4107,0.005,0,0,57264.83034469307,4.515226202860375e-11,0.8216556412407954,2.4623862464657067e-12,49.77317910686982,30,Minimization exited successfully.
