cid,z,z_err,num_points_desg,num_points_desr,num_points_desi,num_points_desz,num_points_desy,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,chi,dof,message
1308884,0.0772,0.001,10,13,13,12,0,57293.4782158135,0.00031555510447237647,-1.4363693380248177,0.08116879741257725,0.02854986394959269,1.9477376825218067e-06,0.030071733032823345,0.004553508456285981,264.049585715658,32,Minimization exited successfully.
1308957,0.6187,0.005,0,0,19,18,0,57289.90328351825,7.612265616803445e-06,1.4031967277846205,-0.373071654333566,1.7106717625320016,1.5215423786943406e-06,1.761735825334094,0.23280965102486278,35.17230372110338,33,Minimization exited successfully.
1309288,0.2684,0.001,0,6,13,17,0,56989.63837955039,6.257802701381276e-05,0.3253511971622331,-0.13121805374915546,0.7968755256442819,1.3926138907202923e-05,0.6183980805683578,0.15422727371382153,5.5533174162537655,32,Minimization exited successfully.
1309492,0.3335,0.001,0,15,15,17,0,56993.22671195672,3.4249368486948444e-05,0.17986008705970125,-0.07507004692463387,0.094653608975932,4.6339973937311016e-07,0.08785094653612506,0.011604889145026972,103.8733188751782,43,Minimization exited successfully.
1309749,0.7893,0.01,0,0,0,19,0,56989.328604055714,8.521317092945454e-05,2.1719012779610254,-5.079337673427421,1.201824499952636,3.563742088165812e-05,0.9060593965975783,0.8310438292517498,6.349552733816294,15,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
1310338,0.4388,0.01,0,17,9,19,0,56977.11076007445,1.609478930712869e-05,-0.2542266826307171,0.01419584581332865,0.4421393724041991,4.2559779250126476e-07,0.33943152001882454,0.02879740838671205,29.9743015673713,41,Minimization exited successfully.
1310395,0.289,0.01,0,18,17,18,0,56981.05315636361,2.4752958655236424e-05,-0.8813442557764091,0.11424863335959934,0.27197108953623683,8.837631438773365e-07,0.2484526727555424,0.029545986226078708,56.90493944991489,49,Minimization exited successfully.
1312274,0.438,0.006,0,16,16,14,0,56977.36749451136,1.2466840694908774e-05,-1.20166168418322,-0.04435655464725978,0.7161139918862318,6.120927546346805e-07,0.548922042453941,0.056488461852969005,16.16869427402498,42,Minimization exited successfully.
1313594,0.2883,0.001,0,12,14,14,0,57002.27828455125,4.4469248206229947e-05,0.7123017803716738,-0.0551802032739482,0.23667380577535369,1.1566117210382606e-06,0.1840945751889949,0.023379414232029636,16.23468530175716,36,Minimization exited successfully.
1314897,0.3369,0.005,0,11,14,15,0,57301.11019926053,2.800045215253807e-05,0.7804559426728283,0.049607815124470996,0.36371207672709716,1.3562661977761286e-06,0.3423793144652549,0.038373442228114,36.90031497127622,36,Minimization exited successfully.
1315192,0.2254,0.001,0,7,12,10,0,57008.813511207256,5.451090410833608e-05,0.8984682618276415,0.13704918328767474,0.2196700303866237,3.493774904472023e-06,0.23941662865730118,0.043558602502950954,21.499270800668008,25,Minimization exited successfully.
1315259,0.228,0.001,0,10,11,13,0,57004.26871507906,4.395979328799061e-05,-0.4567508309240336,0.13617142407917718,0.25012047774725943,1.4693526796410231e-06,0.18424510472673847,0.026544129894397497,29.256582538012808,30,Minimization exited successfully.
1315296,0.4126,0.001,0,14,13,14,0,57004.36110656888,1.004293400852612e-05,1.5004446104127152,0.16646718743998937,0.8190607940450718,6.030455728238886e-07,0.6932846428464965,0.05743274035017308,22.36889927293084,37,Minimization exited successfully.
1316385,0.1478,0.001,8,3,8,13,0,57019.288616767866,0.00019722457111659116,1.2148749330049105,0.028990830010142753,0.14176586366374977,3.9795354206501155e-06,0.1236537729547112,0.012525838771862582,87.45928146046057,28,Minimization exited successfully.
1316431,0.1981,0.005,0,10,10,9,0,57018.64681947429,0.0001031323319236872,1.1679926101082356,-0.07793047827197203,0.11225286288026837,2.3415488047917703e-06,0.1366777052554053,0.017269272991610105,60.23649166889065,25,Minimization exited successfully.
1316437,0.482,0.001,0,0,13,11,0,57010.43894236255,1.4329893480043032e-05,-0.27517919276014635,-0.39294972029761094,1.1674989831335552,2.4229790351700417e-06,1.289614082709379,0.1538882284795,27.46632854999876,20,Minimization exited successfully.
1316465,0.3291,0.001,0,11,10,11,0,57021.639123471236,2.8122377372024552e-05,0.6688508004031875,0.003924512488734043,0.09045196882652817,3.6480260462351504e-07,0.0932706292531112,0.010739993125797138,30.579040857824808,28,Minimization exited successfully.
1317164,0.1547,0.001,0,5,6,15,0,57295.55010353954,9.772971123830447e-05,-2.411478061488875,-0.03799638404823164,0.5471209887800796,1.4428254977776148e-05,0.3567155380948352,0.0892166591183952,66.54447379346561,22,Minimization exited successfully.
1317277,0.2371,0.001,0,12,13,14,0,57008.130729665114,4.7826976767967886e-05,-1.4198214728832728,-0.07152948333498826,0.3664130716242653,2.5511256777799156e-06,0.3179699921682053,0.04624382291530193,20.195003240370134,35,Minimization exited successfully.
1317286,0.279,0.01,0,14,13,14,0,57015.285118244894,5.209431654183712e-05,0.6716569849606604,-0.0656437205854875,0.16958585798784043,1.0793819124548023e-06,0.15405339637119667,0.017858188404206842,52.71862847335028,37,Minimization exited successfully.
1317454,0.5688,0.01,0,0,10,10,0,57014.20315102962,7.531271893695608e-06,-0.34190936425618873,0.12181814820819954,0.9182458681134449,7.239818334802735e-07,0.7790294145260802,0.1014872863345976,18.411287949844137,16,Minimization exited successfully.
1317666,0.1414,0.001,10,12,12,13,0,57301.24140145733,0.00010748119455755481,-0.03728253538688292,0.1369286406573212,0.0709486756422848,1.7851898490589014e-06,0.06072278744293786,0.010160394731610437,106.45647872113028,43,Minimization exited successfully.
1319366,0.2361,0.005,0,17,17,18,0,57304.28638552698,7.060407131936429e-05,1.269912045765448,0.003616067105905194,0.23754358064979897,2.039901084761054e-06,0.17844825844668075,0.023375593320289344,121.79449167171148,48,Minimization exited successfully.
1319821,0.3088,0.001,0,10,13,13,0,57020.577197540406,3.087060270570708e-05,-0.3139445634020551,-0.036316440575625844,0.2945521169785934,1.6935495012427457e-06,0.30593969813599414,0.042041676675167394,21.262714503472672,32,Minimization exited successfully.
1320166,0.449,0.01,0,0,10,9,0,57021.75984706775,8.585553693251843e-06,-0.020159479213639288,0.33236753348263215,0.7445060732388811,1.2271014973259513e-06,1.0223914059676118,0.11581774268524267,12.482927565867097,15,Minimization exited successfully.
1322229,0.5261,0.001,0,0,7,7,0,57034.79445096121,1.0465395547342133e-05,1.7682014284354843,-0.027402455209850397,1.1320943332102615,9.051800740403812e-07,1.0394904336909017,0.09192913363895117,5.187283345534514,10,Minimization exited successfully.
1322979,0.5294,0.005,0,0,9,10,0,57038.33925970442,1.0798818464900347e-05,-0.4541473127473836,-0.1045192015350064,0.3862852329657471,4.077823455934973e-07,0.38186251901347334,0.03583729594179564,19.78262525522399,15,Minimization exited successfully.
1324542,0.5415,0.0005,0,0,9,10,0,57044.021130803136,9.094829116943495e-06,0.1347233778561668,-0.12031135940533572,1.2777682276573614,1.2343729789177496e-06,1.1660864129682191,0.13882122692257268,10.716330309401688,15,Minimization exited successfully.
1325358,0.7793,0.005,0,0,0,7,0,57047.84157594055,5.414577573865097e-06,2.0003685786840593,-0.019178947830523978,0.3401838046411285,6.452703480196081e-06,2.333265473903662,1.7298998164403763,6.7381210994366665,3,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
1327978,0.2073,0.001,0,10,13,19,0,57307.40954721742,6.427075099326547e-05,0.23904345548016687,0.11287068739383807,0.7617603244179918,8.655689338212857e-06,0.5976969167490536,0.10286570200005228,12.251632667545884,38,Minimization exited successfully.
1328066,0.4489,0.005,0,0,20,22,0,57299.59760596441,1.7658594300639207e-05,1.9651942862477907,-0.17082963788148223,0.0013533466553781182,2.9992115711096185e-06,0.8437411502818746,0.14717691517874265,22.219273806985257,38,Minimization exited successfully.
1328105,0.4402,0.001,0,21,21,23,0,57302.165914049045,1.735966088704353e-05,0.5056762169773766,-0.034816844743157854,0.6974238642615092,9.092802829949594e-07,0.4573982952890598,0.04658700174376201,68.42730342643122,61,Minimization exited successfully.
1329166,0.7316,0.005,0,0,0,17,0,57309.91184431695,1.2561322509836775e-16,3.191153058142869,22.698665830369315,0.39452302957943175,6.983769608270725e-18,0.6032000968952309,0.03682159804148515,12.94957784557916,13,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
1329196,0.7693,0.005,0,0,0,20,0,57308.58189843609,8.050378551111807e-08,-0.1289893923032909,4.850322840555642,1.2583902901133115,3.80351953641692e-08,0.688283298857837,0.5236717280389285,20.708364357198725,16,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
1329312,0.3444,0.001,0,15,16,15,0,57310.095998992445,2.00396800725298e-05,-1.5948551766823027,1.5627986090081813e-05,0.544112328771007,1.2970165663030542e-06,0.4021388859933546,0.057396894923558595,17.567096052653064,42,Minimization exited successfully.
1329615,0.4039,0.005,0,17,17,16,0,57304.27305164846,1.4863775189837254e-05,-0.17944079055118559,0.029397708223209546,0.8569897503839456,1.003508049947978e-06,0.5624135894560904,0.06276603989448466,30.64405246454877,46,Minimization exited successfully.
1330031,0.1041,0.005,13,13,13,0,0,57315.11072875135,0.0003987150376579591,0.2935399226511978,-0.08326563532171,0.04998643867656938,6.180118664490238e-06,0.06398636812173503,0.010852921793895395,1065.3709007209536,35,Minimization exited successfully.
1330426,0.2595,0.005,0,16,17,17,0,57315.86585033002,6.551381285449047e-05,1.3284983523499787,-0.06389682944015002,0.12070154112007003,1.0702033534757646e-06,0.09346944634576171,0.013053505766590862,416.9441871394557,46,Minimization exited successfully.
1330642,0.6339,0.001,0,0,17,17,0,57317.62850739523,8.694711675994415e-06,1.2067472587729866,-0.11880483698817332,0.4876343439354969,3.9958468637031506e-07,0.39614996115800555,0.051157881561358975,39.27851162380977,30,Minimization exited successfully.
1330903,0.5638,0.005,0,0,20,21,0,57306.833082072924,9.726787188438137e-06,0.845476567660486,-0.3229215683785982,1.4377706399063754,1.1405633943765908e-06,0.9802373491136971,0.14515498983673325,33.67415155982579,37,Minimization exited successfully.
1331123,0.2291,0.005,0,17,17,17,0,57318.22934588143,4.943972225700823e-05,-1.4419393324816563,-0.04452379780681436,0.24328939117549453,2.0804293574475346e-06,0.22851462406529274,0.033653215784175815,59.62795543503019,47,Minimization exited successfully.
1331993,0.7196,0.005,0,0,16,14,0,57327.740434707855,4.540318071990539e-06,0.6692188238756324,-0.016233049780379268,0.7052572514730855,2.951826156889376e-07,0.5182177651224663,0.09633749640956286,17.789398805287064,26,Minimization exited successfully.
1332059,0.5788,0.005,0,0,18,19,0,57324.298181740865,8.512553150981402e-06,-0.08601080046695478,-0.023791260980712135,0.8573988014541101,1.0858896759538518e-06,0.7181994890864041,0.1293442429326086,32.039036687709356,33,Minimization exited successfully.
1332413,0.6087,0.005,0,0,17,17,0,57325.69022631874,7.882668906173227e-06,1.001060514746507,0.049440743076035215,0.8105994275974808,7.598887030184072e-07,0.6790112126514312,0.10619868349119937,44.31416848829319,30,Minimization exited successfully.
1333246,0.4379,0.005,0,16,14,16,0,57325.81608175365,1.0301708982580003e-05,1.8496280376774517,0.14603484375475564,0.9674208778742468,1.0359934369621638e-06,0.9177121853082019,0.08495231696515221,12.319637013771416,42,Minimization exited successfully.
