cid,num_points_91bg_proj_csp_u,num_points_91bg_proj_csp_g,num_points_91bg_proj_csp_r,num_points_91bg_proj_csp_i,num_points_91bg_proj_csp_B,num_points_91bg_proj_csp_V0,num_points_91bg_proj_csp_V1,num_points_91bg_proj_csp_V,num_points_91bg_proj_csp_Y,num_points_91bg_proj_csp_H,num_points_91bg_proj_csp_J,num_points_91bg_proj_csp_Jrc2,num_points_91bg_proj_csp_Ydw,num_points_91bg_proj_csp_Jdw,num_points_91bg_proj_csp_Hdw,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
2007S,12,18,19,18,18,0,0,17,20,33,32,0,5,0,0,0.0139,1162.9350609654834,3.267004459406792e-09,81064.44179326043,-0.2018377647772347,0,3.8263351598288864e-07,6.038107097829763e-11,1498.1800890955926,0.001580944044968573,39917990.87238354,98,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2007af,24,24,27,28,27,0,0,27,40,48,50,0,12,0,0,0.0055,1244.0736024171965,2.2895606888088396e-06,7.941693826319118,0.40557385057419554,0,0.0013523677877174123,6.500225360662558e-10,0.0036172368226894645,0.0002262528643240488,5784871.995901599,153,Minimization exited successfully.
2007ai,6,15,17,16,15,0,0,16,6,6,10,0,4,0,0,0.0317,1232.1212330117887,2.7406491679128044e-06,11.338775493274357,0.2515388093294558,0,0.028037226137030302,1.1535173596492735e-08,0.09023528572446493,0.0029711770340531928,41764.02218704554,81,Minimization exited successfully.
2007al,4,15,16,14,14,0,0,15,14,10,12,0,6,0,0,0.0122,1211.1338813372292,3.969229197815997e-07,326.0793724097344,-0.5344902549504709,0,0.07560068251336816,6.832960679632859e-08,55.79834633879576,0.03422402681710579,52455726.034646824,74,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2007as,9,19,19,19,18,0,0,19,18,13,15,0,4,0,0,0.0176,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.017600
    t0 = +1141.807776
    x0 = +21.171331
    x1 = -19852.137415
     c = +564548.419233
"
2007ax,5,11,12,12,12,0,0,12,13,7,11,0,2,0,0,0.0069,1231.4226002441687,2.6106753531929597e-06,7.277782586020674,0.20122557665750102,0,0.09170703987251727,1.1738976046738098e-08,0.1252950783645035,0.007095779326795975,7796.001328042559,60,Minimization exited successfully.
2007ba,6,17,13,12,16,0,0,17,21,6,11,0,5,0,0,0.0385,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.038500
    t0 = +1258.910886
    x0 = +1759910131.982824
    x1 = +292.091933
     c = +327.475703
"
2007bc,7,15,15,15,11,0,0,14,11,8,11,0,4,0,0,0.0208,1270.9846178429343,5.878816374288381e-08,570.3597933766703,0.26059348111021063,0,0.8354031721936508,4.0059220713980395e-08,89.11874037877851,1.0644091307675099,226293173.91199672,73,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2007bd,8,12,12,12,12,0,0,12,20,9,10,0,3,0,0,0.0309,1221.0262645541256,1.7498960766687466e-06,51.25530950785621,0.1395895213289624,0,0.09818096826666078,4.1857138963694017e-07,15.952402950417381,0.033764951368612954,32201345.973305494,64,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2007bm,7,8,7,10,10,0,0,10,3,14,16,0,0,0,0,0.0062,1253.650262999702,2.3003673748292178e-06,4.7609328844674135,-0.29311685844096097,0,0.1370577529635284,1.70309523059846e-08,0.2156036341358028,0.013981250714353837,7033.498940009515,48,Minimization exited successfully.
2007ca,8,12,12,12,12,0,0,12,12,14,15,0,8,0,0,0.0141,1240.8651494188143,2.685409222678011e-06,10.059435459044769,0.03964978764647325,0,0.12693888652154328,5.225067793557889e-08,0.32619937645583424,0.027841146907792044,38108280.99805824,64,Minimization exited successfully.
2007cg,3,7,7,7,4,0,0,8,5,0,0,0,4,0,0,0.0332,1247.007294829792,3.1628204087472134e-06,5.896219155719456,0.06405878858959387,0,0.2384874263166239,6.48398964664831e-08,0.30655951255586944,0.029045611873927155,143.93567082682313,32,Minimization exited successfully.
2007hj,13,27,28,28,26,0,0,27,34,36,33,0,14,0,0,0.0141,1334.9198846062977,2.33551039664024e-05,3.3091161005091436,-0.27109404612280086,0,0.0001758083423055723,1.145569957909809e-06,0.6228446919944499,0.02111942833716895,37855443.72919899,145,Covariance may not be accurate. Covariance not positive definite. Covariance forced positive definite.
2007hx,2,10,11,11,9,0,0,9,10,0,0,0,3,0,0,0.0794,1311.8207314908545,2.781533596410835e-05,4.782620916563928,-0.7148593008855803,0,5.4643578550894745e-09,1.0691734634247422e-08,0.0005606842881916915,0.00025500762900583073,529238.0179603816,48,Covariance may not be accurate.
2007if,4,15,16,15,15,0,0,17,6,4,12,0,10,0,0,0.0742,1418.206678566767,2.6621767347176874e-06,15.550178623146829,0.03668575483431785,0,119.01963536503933,1.0000010170535993,1.260187292348648,1.0003774634387916,114331857.32826437,78,Minimization exited successfully.
2007jd,2,11,13,14,10,0,0,10,4,0,3,0,3,0,0,0.0726,1375.8340934334212,3.154432482856847e-06,7.271720271196656,0.10678860672113212,0,0.2676917007522661,6.600985311333608e-08,0.30448226679899815,0.027665649544102326,271.9312828473247,56,Minimization exited successfully.
2007jg,7,15,13,19,17,0,0,18,8,1,8,0,7,0,0,0.0371,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.037100
    t0 = +1356.622667
    x0 = -729835993.089967
    x1 = +90007.776665
     c = +211766.219949
"
2007jh,0,9,10,8,7,0,0,9,1,1,0,0,0,0,0,0.0408,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.040800
    t0 = +1381.217655
    x0 = +478959687895.731812
    x1 = +7343.456041
     c = +290710.341081
"
2007le,21,23,25,25,25,0,0,25,25,32,33,0,8,0,0,0.0067,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.006700
    t0 = +1361.672388
    x0 = -23703828608049.785156
    x1 = -1121951.520437
     c = -65653638.305918
"
2007mm,0,8,9,8,6,0,0,8,0,0,0,0,0,0,0,0.0664,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.066400
    t0 = +1345.096676
    x0 = +67987513686.914940
    x1 = +180198.817673
     c = +430243.806129
"
2007nq,6,23,25,25,21,0,0,25,27,3,9,0,10,0,0,0.045,1456.7316723940617,3.0680613652459723e-06,8.504000279775555,0.24184520943326698,0,0.01365058288763521,6.7132111105693364e-09,0.03640897236645269,0.0014649521402480882,160653.08613982174,121,Minimization exited successfully.
2007ol,3,7,7,0,7,0,0,7,0,0,0,0,0,0,0,0.0559,1410.3105915082997,2.948709991901897e-06,8.960658877181576,0.0024806265793272716,0,0.31692298924974693,5.7907246351316784e-08,0.5723142786083321,0.029265417071532417,51.028958616822976,27,Minimization exited successfully.
2007on,33,17,26,23,31,0,0,23,38,49,49,0,19,0,0,0.0065,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.006500
    t0 = +1366.144717
    x0 = +53719734111880.054688
    x1 = +562918.904675
     c = +20564900.985976
"
2007so,4,8,8,8,7,0,0,8,8,6,4,0,5,0,0,0.0297,1458.6505743327632,3.275075750565612e-06,5.503170694258428,0.011706498517423006,0,0.48675098780711323,6.362084502698319e-08,0.3183344627411921,0.02587776824090483,270.55621610270066,39,Minimization exited successfully.
2007sr,15,29,29,29,29,0,0,30,23,31,35,0,9,0,0,0.0055,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,"result is NaN
User function arguments:
     z = +0.005500
    t0 = +1598.005014
    x0 = +4598773621.707377
    x1 = +31995.128558
     c = -93967.726164
"
