    INFO (2020-05-18 22:36:25,726): root - Found t0 for <7373>. t0 = 2453684.3
    INFO (2020-05-18 22:36:25,742): root - Formatted table for <7373> has 0 spectra
   DEBUG (2020-05-18 22:36:25,742): root - Finished with target


    INFO (2020-05-18 22:36:25,742): root - Fetching data for <2913> (46 / 938)
   DEBUG (2020-05-18 22:36:25,839): root - Formatting table for <2913>
   DEBUG (2020-05-18 22:36:25,839): root - Fetching t0 for <2913>
    INFO (2020-05-18 22:36:25,839): root - t0 not available for <2913>
   DEBUG (2020-05-18 22:36:25,840): root - Finished with target


    INFO (2020-05-18 22:36:25,840): root - Fetching data for <13633> (47 / 938)
   DEBUG (2020-05-18 22:36:25,932): root - Formatting table for <13633>
   DEBUG (2020-05-18 22:36:25,932): root - Fetching t0 for <13633>
    INFO (2020-05-18 22:36:25,933): root - Found t0 for <13633>. t0 = 2453997.2
    INFO (2020-05-18 22:36:25,949): root - Formatted table for <13633> has 0 spectra
   DEBUG (2020-05-18 22:36:25,949): root - Finished with target


    INFO (2020-05-18 22:36:25,949): root - Fetching data for <16668> (48 / 938)
   DEBUG (2020-05-18 22:36:26,067): root - Formatting table for <16668>
   DEBUG (2020-05-18 22:36:26,067): root - Fetching t0 for <16668>
    INFO (2020-05-18 22:36:26,068): root - t0 not available for <16668>
   DEBUG (2020-05-18 22:36:26,068): root - Finished with target


    INFO (2020-05-18 22:36:26,068): root - Fetching data for <16441> (49 / 938)
   DEBUG (2020-05-18 22:36:26,222): root - Formatting table for <16441>
   DEBUG (2020-05-18 22:36:26,222): root - Fetching t0 for <16441>
    INFO (2020-05-18 22:36:26,223): root - Found t0 for <16441>. t0 = 2454058.7
    INFO (2020-05-18 22:36:26,265): root - Formatted table for <16441> has 0 spectra
   DEBUG (2020-05-18 22:36:26,265): root - Finished with target


    INFO (2020-05-18 22:36:26,265): root - Fetching data for <15356> (50 / 938)
   DEBUG (2020-05-18 22:36:26,430): root - Formatting table for <15356>
   DEBUG (2020-05-18 22:36:26,430): root - Fetching t0 for <15356>
    INFO (2020-05-18 22:36:26,431): root - Found t0 for <15356>. t0 = 2454029.8
    INFO (2020-05-18 22:36:26,473): root - Formatted table for <15356> has 1 spectra
    INFO (2020-05-18 22:36:26,473): root - Using template Ia
