cid,class,fit_z,z,t0,amplitude,z_err,t0_err,amplitude_err,chi,dof,message
16997,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
16998,zSNII,0,0.07752,54021.98813950338,1.5305564688436867e-10,nan,1.5576654783653794,4.898821615315929e-11,200.92743212505798,64,Minimization exited successfully.
16999,Variable,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17000,zSNII,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17002,Unknown,1,0.3096318792168548,54050.32600563174,1.1354927304797302e-08,0.0024314709582008154,0.10705038735250128,1.527071427622555e-10,27684.854650550384,75,Minimization exited successfully.
17004,Unknown,1,0.10204629474237953,54047.601596811124,6.482050023200975e-10,0.21311924484153655,1.6346636492089601,2.3451852681407417e-10,71.52741022005968,68,Minimization exited successfully.
17005,Unknown,1,0.10045063581701404,54004.7236866995,7.867199784432176e-10,0.015409843902758347,0.3996502009576943,6.095135639417418e-11,23294.932025200393,63,Minimization exited successfully.
17031,zSNIa,0,0.390602,54039.83493465252,3.7492882888468087e-10,nan,1.2592860716831638,3.247778296012845e-11,54.1573199686228,67,Minimization exited successfully.
17033,Variable,0,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17035,Unknown,1,0.3948395612168317,54042.76058835293,3.6764560309545147e-10,0.04987150433540244,0.8579226254551031,2.5110527880274307e-11,100.14421967332196,135,Minimization exited successfully.
17040,Unknown,1,0.25533062840951254,54048.06782222612,5.487440127284104e-10,0.03321046763115629,1.1826474079825857,5.602487152756042e-11,69.35269871699103,69,Minimization exited successfully.
17041,Unknown,0,0.321434,54047.75613649843,5.686070395736942e-10,nan,0.9089888412308937,4.7828176425198156e-11,140.0169469498365,70,Minimization exited successfully.
17048,SNIa,0,0.220452,54050.05200876832,1.0376849045251515e-09,nan,0.662279971409589,7.505939416827407e-11,69.94415950037268,67,Minimization exited successfully.
17049,zSNIa,0,0.309251,54040.77733999964,5.459806737819705e-10,nan,0.7900402660197869,3.745397696858065e-11,210.6600932902327,76,Minimization exited successfully.
17051,Unknown,1,0.45537120677444304,54048.01661615756,5.39663354951592e-10,0.06428989726710618,1.414443309957278,1.0737770242368256e-10,51.87788033027965,51,Minimization exited successfully.
17052,Unknown,1,0.4503561456772755,54049.52374483739,7.817734570215203e-10,0.09451397938173081,1.095315581853356,1.768058375092951e-10,41.76347241804502,57,Minimization exited successfully.
17053,Unknown,1,0.4460376652022215,54031.58207232293,6.476721714785514e-10,0.024823588395915197,0.8173229783533316,4.250061266518347e-11,206.09569741088472,66,Minimization exited successfully.
17054,pSNII,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17055,pSNII,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17056,Unknown,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
17058,Unknown,1,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
