cid,class,num_points_sdssu,num_points_sdssg,num_points_sdssr,num_points_sdssi,num_points_sdssz,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
7480,zSNII,16,16,16,16,16,0,0.385725,53682.51898135826,6.013111491792504e-06,6.910156207239407,-0.051242903234882446,nan,0.7997018157730054,5.42413371503996e-07,1.6224191494941198,0.03468414867434661,188.15771379641248,76,Minimization exited successfully.
7483,zSNII,0,16,16,16,16,0,0.119998,53680.65033227536,7.996749781443371e-06,4.239977549543279,0.09582977833312774,nan,0.8557051069437875,5.227720813958857e-07,1.0812045000793464,0.06682566345062174,101.73326323331241,44,Minimization exited successfully.
7484,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7491,zSNII,0,16,16,15,16,0,0.561733,53681.297376428454,3.4831019666410285e-06,6.406206996969488,-0.23739221624383203,nan,1.3516677857915056,5.469300802434801e-07,2.52286087141545,0.029539022388766843,174.48023705121366,59,Minimization exited successfully.
7494,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7499,zSNIa,16,16,16,16,16,0,0.352531,53666.3755013267,6.799786389743586e-06,1.0310204687499531,0.07960812758842992,nan,1.2720958127501945,6.627684537527491e-07,1.317601829460564,0.0779010002804856,57.904980694049094,76,Minimization exited successfully.
7500,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7501,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7502,zSNIa,0,16,16,16,16,0,0.449808,53665.18424760383,4.795805176074708e-06,-0.5498406266427986,-0.1453741938214773,nan,1.5189362047749455,5.775224219480608e-07,1.5729772111767497,0.09711338081016756,49.84129842720583,60,Minimization exited successfully.
7511,pSNII,0,0,0,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
