cid,class,num_points_sdssu,num_points_sdssg,fit_z,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
7986,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
7993,Unknown,0,0,0,1.76839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,No data points with S/N > 5.0. Initial guessing failed.
8004,zSNIa,18,21,0,0.351569,53671.67430953848,4.836017925739968e-06,0.3031146214493893,0.0960138365116298,nan,2.0173500843411603,5.025118178487742e-07,1.8977367716026643,0.13736357016769896,40.043295230799664,55,Minimization exited successfully.
8018,zSNII,20,20,0,0.19078,53681.96067109843,1.0997290497895661e-05,4.242295164959071,-0.24143495815718852,nan,0.6100575144046161,5.9875134888516e-07,0.9054199726923764,0.030400109924931733,81.53206729810078,56,Minimization exited successfully.
8024,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8025,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8030,SNIa,0,23,0,0.422,53678.490253670694,5.695691584282975e-06,0.7031456762496343,-0.1446001583909593,nan,1.1594264115847182,3.845300941595589e-07,1.1700083736602196,0.04995079792579565,40.94642989996143,65,Minimization exited successfully.
8032,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8034,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8046,SNIa,22,23,0,0.25857,53683.32267587577,1.3710440793707882e-05,0.09614824984079132,0.06566592127296411,nan,0.49141926571610384,5.515181666530628e-07,0.4824718816319349,0.044378254671889696,34.60644605063595,64,Minimization exited successfully.
8053,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8058,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8059,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8061,Unknown,21,21,0,0.216617,53687.4456377775,1.3050855981411618e-05,6.17533318134605,-0.26136398090937957,nan,0.30952549683934194,7.337611798943538e-07,0.7501897958734808,0.02443676172571647,209.4726077036556,59,Minimization exited successfully.
8062,zSNIa,0,21,0,0.554141,53677.41988377448,5.948125966782347e-06,0.48888542761384873,-0.08690295044845163,nan,1.2081395332425018,4.186375887680343e-07,1.1179182062592579,0.038513881711072166,38.98374813451109,59,Minimization exited successfully.
8083,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8086,zSNIbc,14,20,0,0.051919,53668.146912276316,4.276984486623692e-06,5.868904207626684,0.8552888126994311,nan,1.3377035915436863,7.447616532253367e-07,2.5540783814242527,0.7477688484513797,35.79471674019717,30,Minimization exited successfully.
8087,zSNII,20,20,0,0.317036,53645.126858373034,9.324912104720274e-07,69.38064436169451,0.11432755524455161,nan,0.7511163625822519,7.559780565756266e-07,63.295312867706876,0.08006449777188457,158.13424029325398,56,Minimization exited successfully.
8089,zSNII,24,24,0,0.186136,53664.41093001975,7.572581329006636e-06,5.803533322491166,0.2395196636186457,nan,0.9429786622349638,6.000049789117981e-07,1.5681959641517067,0.08750502138825905,82.57242314580135,68,Minimization exited successfully.
8092,pSNIa,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8100,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8110,Unknown,20,21,0,0.119749,53601.78577973235,0.0001350704562534548,-0.6580303813371866,-0.8053058223640418,nan,0.4848784827408963,9.208115000803609e-06,0.13273115909649036,0.02455068888104233,3451.4224886306934,37,Minimization exited successfully.
8114,zSNIa,20,20,0,0.371314,53678.27496334183,6.71547637618724e-06,0.9555805140815636,0.04173394464030934,nan,1.4707914681639522,5.058957495505686e-07,1.411728624921467,0.0717572091351952,50.1941891622385,57,Minimization exited successfully.
8118,Unknown,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
8127,pSNII,0,0,1,-9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,zero-size array to reduction operation minimum which has no identity
