class,cid,num_points_91bg_proj_sdss_u1,num_points_91bg_proj_sdss_u2,num_points_91bg_proj_sdss_u3,num_points_91bg_proj_sdss_u4,num_points_91bg_proj_sdss_u5,num_points_91bg_proj_sdss_u6,num_points_91bg_proj_sdss_g1,num_points_91bg_proj_sdss_g2,num_points_91bg_proj_sdss_g3,num_points_91bg_proj_sdss_g4,num_points_91bg_proj_sdss_g5,num_points_91bg_proj_sdss_g6,num_points_91bg_proj_sdss_r1,num_points_91bg_proj_sdss_r2,num_points_91bg_proj_sdss_r3,num_points_91bg_proj_sdss_r4,num_points_91bg_proj_sdss_r5,num_points_91bg_proj_sdss_r6,num_points_91bg_proj_sdss_i1,num_points_91bg_proj_sdss_i2,num_points_91bg_proj_sdss_i3,num_points_91bg_proj_sdss_i4,num_points_91bg_proj_sdss_i5,num_points_91bg_proj_sdss_i6,num_points_91bg_proj_sdss_z1,num_points_91bg_proj_sdss_z2,num_points_91bg_proj_sdss_z3,num_points_91bg_proj_sdss_z4,num_points_91bg_proj_sdss_z5,num_points_91bg_proj_sdss_z6,z,t0,x0,x1,c,z_err,t0_err,x0_err,x1_err,c_err,chi,dof,message
Variable,5910,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071089,nan,nan,nan,nan,0.071089,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa?,5916,0,0,16,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172701,nan,nan,nan,nan,0.172701,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5917,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2949,nan,nan,nan,nan,0.2949,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,5920,0,0,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080598,nan,nan,nan,nan,0.080598,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5922,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342179,nan,nan,nan,nan,0.342179,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5923,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0.46828,nan,nan,nan,nan,0.46828,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5925,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.395188,nan,nan,nan,nan,0.395188,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5934,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0.96652,nan,nan,nan,nan,0.96652,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5935,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0.629224,nan,nan,nan,nan,0.629224,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5937,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,0,0,0,0,22,19,0,0,0,0,22,19,0,0,0,0.666114,nan,nan,nan,nan,0.666114,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5944,0,0,38,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04495,nan,nan,nan,nan,0.04495,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5946,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366439,nan,nan,nan,nan,0.366439,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1.769481,nan,nan,nan,nan,1.769481,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5957,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279228,nan,nan,nan,nan,0.279228,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5959,0,0,20,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206754,nan,nan,nan,nan,0.206754,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5963,0,0,0,0,15,0,0,0,0,0,16,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23552,nan,nan,nan,nan,0.23552,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5964,0,0,0,0,16,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113075,nan,nan,nan,nan,0.113075,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5966,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308214,nan,nan,nan,nan,0.308214,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5969,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341821,nan,nan,nan,nan,0.341821,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Unknown,5970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,0,0,17,0,0.923302,nan,nan,nan,nan,0.923302,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNII,5976,0,0,0,0,22,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140367,nan,nan,nan,nan,0.140367,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5978,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.279422,nan,nan,nan,nan,0.279422,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5980,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135457,nan,nan,nan,nan,0.135457,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2.026503,nan,nan,nan,nan,2.026503,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5987,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0.637235,nan,nan,nan,nan,0.637235,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNII,5988,0,0,0,16,0,0,0,0,0,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175961,nan,nan,nan,nan,0.175961,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5990,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386746,nan,nan,nan,nan,0.386746,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
AGN,5991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,1.338309,nan,nan,nan,nan,1.338309,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
Variable,5992,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05087,nan,nan,nan,nan,0.05087,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNIa,5993,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376415,nan,nan,nan,nan,0.376415,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
SNIa,5994,0,0,21,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185813,nan,nan,nan,nan,0.185813,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
zSNII,5999,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182966,nan,nan,nan,nan,0.182966,nan,nan,nan,nan,nan,nan,Parameter not in model: 'x0'
